677/1602, iter = 0.000178 seconds
678/1602, iter = 0.000180 seconds
679/1602, iter = 0.000180 seconds
680/1602, iter = 0.000177 seconds
681/1602, iter = 0.000185 seconds
682/1602, iter = 0.000176 seconds
683/1602, iter = 0.000176 seconds
684/1602, iter = 0.000176 seconds
685/1602, iter = 0.000178 seconds
686/1602, iter = 0.000186 seconds
687/1602, iter = 0.000179 seconds
688/1602, iter = 0.000179 seconds
689/1602, iter = 0.000181 seconds
690/1602, iter = 0.000173 seconds
691/1602, iter = 0.000182 seconds
692/1602, iter = 0.000190 seconds
693/1602, iter = 0.000181 seconds
694/1602, iter = 0.000180 seconds
695/1602, iter = 0.000176 seconds
696/1602, iter = 0.000183 seconds
697/1602, iter = 0.000190 seconds
698/1602, iter = 0.000180 seconds
699/1602, iter = 0.000202 seconds
700/1602, iter = 0.000181 seconds
701/1602, iter = 0.000179 seconds
702/1602, iter = 0.000178 seconds
703/1602, iter = 0.000188 seconds
704/1602, iter = 0.000181 seconds
705/1602, iter = 0.000191 seconds
706/1602, iter = 0.000180 seconds
707/1602, iter = 0.000174 seconds
708/1602, iter = 0.000183 seconds
709/1602, iter = 0.000179 seconds
710/1602, iter = 0.000173 seconds
711/1602, iter = 0.000178 seconds
712/1602, iter = 0.000183 seconds
713/1602, iter = 0.000178 seconds
714/1602, iter = 0.000186 seconds
715/1602, iter = 0.000177 seconds
716/1602, iter = 0.000176 seconds
717/1602, iter = 0.000176 seconds
718/1602, iter = 0.000174 seconds
719/1602, iter = 0.000182 seconds
720/1602, iter = 0.000176 seconds
721/1602, iter = 0.000184 seconds
722/1602, iter = 0.000182 seconds
723/1602, iter = 0.000179 seconds
724/1602, iter = 0.000179 seconds
725/1602, iter = 0.000191 seconds
726/1602, iter = 0.000204 seconds
727/1602, iter = 0.000187 seconds
728/1602, iter = 0.000181 seconds
729/1602, iter = 0.000176 seconds
730/1602, iter = 0.000201 seconds
731/1602, iter = 0.000181 seconds
732/1602, iter = 0.000178 seconds
733/1602, iter = 0.000175 seconds
734/1602, iter = 0.000181 seconds
735/1602, iter = 0.000183 seconds
736/1602, iter = 0.000177 seconds
737/1602, iter = 0.000176 seconds
738/1602, iter = 0.000174 seconds
739/1602, iter = 0.000175 seconds
740/1602, iter = 0.000180 seconds
741/1602, iter = 0.000183 seconds
742/1602, iter = 0.000179 seconds
743/1602, iter = 0.000188 seconds
744/1602, iter = 0.000178 seconds
745/1602, iter = 0.000174 seconds
746/1602, iter = 0.000185 seconds
747/1602, iter = 0.000180 seconds
748/1602, iter = 0.000180 seconds
749/1602, iter = 0.000176 seconds
750/1602, iter = 0.000179 seconds
751/1602, iter = 0.000175 seconds
752/1602, iter = 0.000182 seconds
753/1602, iter = 0.000177 seconds
754/1602, iter = 0.000190 seconds
755/1602, iter = 0.000181 seconds
756/1602, iter = 0.000177 seconds
757/1602, iter = 0.000201 seconds
758/1602, iter = 0.000179 seconds
759/1602, iter = 0.000175 seconds
760/1602, iter = 0.000181 seconds
761/1602, iter = 0.000180 seconds
762/1602, iter = 0.000179 seconds
763/1602, iter = 0.000180 seconds
764/1602, iter = 0.000180 seconds
765/1602, iter = 0.000179 seconds
766/1602, iter = 0.000187 seconds
767/1602, iter = 0.000202 seconds
768/1602, iter = 0.000198 seconds
769/1602, iter = 0.000180 seconds
770/1602, iter = 0.000176 seconds
771/1602, iter = 0.000186 seconds
772/1602, iter = 0.000176 seconds
773/1602, iter = 0.000176 seconds
774/1602, iter = 0.000185 seconds
775/1602, iter = 0.000181 seconds
776/1602, iter = 0.000176 seconds
